"消費数量・購入金額","品目別購入数量・金額","2019年5月 あじ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：あじ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,69,82,23,28
"　　　　　2月",2.97,69,86,23,29
"　　　　　3月",2.97,104,105,35,35
"　　　　　4月",2.97,91,121,31,41
"　　　　　5月",2.97,116,138,39,46
"　　　　　6月",2.97,131,141,44,47
"　　　　　7月",2.98,106,129,36,43
"　　　　　8月",2.98,83,107,28,36
"　　　　　9月",2.98,99,111,33,37
"　　　　 10月",2.98,82,89,28,30
"　　　　 11月",2.98,84,100,28,34
"　　　　 12月",2.98,58,82,19,28
" 2018年　 1月",2.98,53,75,18,25
"　　　　　2月",2.97,68,82,23,28
"　　　　　3月",2.97,71,92,24,31
"　　　　　4月",2.97,99,118,33,40
"　　　　　5月",2.97,96,126,32,42
"　　　　　6月",2.97,107,118,36,40
"　　　　　7月",2.98,85,98,29,33
"　　　　　8月",2.98,68,81,23,27
"　　　　　9月",2.97,74,91,25,31
"　　　　 10月",2.98,70,85,23,29
"　　　　 11月",2.98,77,96,26,32
"　　　　 12月",2.98,66,80,22,27
" 2019年　 1月",2.98,48,67,16,22
"　　　　　2月",2.98,64,75,21,25
"　　　　　3月",2.97,73,91,25,31
"　　　　　4月",2.97,98,113,33,38
"　　　　　5月",2.97,95,122,32,41
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
