"消費数量・購入金額","品目別購入数量・金額","2019年5月 かに"
"品目別購入数量・金額"
"地 域：全国"
"品 目：かに"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,38,167,13,56
"　　　　　2月",2.97,24,75,8,25
"　　　　　3月",2.97,13,50,4,17
"　　　　　4月",2.97,9,38,3,13
"　　　　　5月",2.97,11,39,4,13
"　　　　　6月",2.97,6,16,2,5
"　　　　　7月",2.98,13,31,4,10
"　　　　　8月",2.98,8,35,3,12
"　　　　　9月",2.98,21,41,7,14
"　　　　 10月",2.98,15,39,5,13
"　　　　 11月",2.98,39,158,13,53
"　　　　 12月",2.98,249,1054,84,354
" 2018年　 1月",2.98,57,195,19,65
"　　　　　2月",2.97,25,57,8,19
"　　　　　3月",2.97,14,35,5,12
"　　　　　4月",2.97,7,23,2,8
"　　　　　5月",2.97,9,16,3,5
"　　　　　6月",2.97,5,17,2,6
"　　　　　7月",2.98,12,22,4,7
"　　　　　8月",2.98,7,16,2,5
"　　　　　9月",2.97,5,18,2,6
"　　　　 10月",2.98,13,25,4,8
"　　　　 11月",2.98,35,132,12,44
"　　　　 12月",2.98,176,850,59,285
" 2019年　 1月",2.98,36,188,12,63
"　　　　　2月",2.98,8,27,3,9
"　　　　　3月",2.97,14,22,5,7
"　　　　　4月",2.97,4,21,1,7
"　　　　　5月",2.97,14,18,5,6
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
