"消費数量・購入金額","品目別購入数量・金額","2019年5月 かぼちゃ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：かぼちゃ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,256,100,86,34
"　　　　　2月",2.97,277,105,93,35
"　　　　　3月",2.97,308,117,104,39
"　　　　　4月",2.97,258,116,87,39
"　　　　　5月",2.97,335,129,113,43
"　　　　　6月",2.97,422,172,142,58
"　　　　　7月",2.98,420,171,141,57
"　　　　　8月",2.98,389,149,131,50
"　　　　　9月",2.98,423,141,142,47
"　　　　 10月",2.98,424,133,142,45
"　　　　 11月",2.98,340,115,114,39
"　　　　 12月",2.98,361,140,121,47
" 2018年　 1月",2.98,284,105,95,35
"　　　　　2月",2.97,272,104,92,35
"　　　　　3月",2.97,346,107,116,36
"　　　　　4月",2.97,297,103,100,35
"　　　　　5月",2.97,337,124,113,42
"　　　　　6月",2.97,394,152,133,51
"　　　　　7月",2.98,425,164,143,55
"　　　　　8月",2.98,338,140,113,47
"　　　　　9月",2.97,296,137,100,46
"　　　　 10月",2.98,346,147,116,49
"　　　　 11月",2.98,228,111,77,37
"　　　　 12月",2.98,283,133,95,45
" 2019年　 1月",2.98,223,94,75,32
"　　　　　2月",2.98,252,95,85,32
"　　　　　3月",2.97,298,106,100,36
"　　　　　4月",2.97,323,113,109,38
"　　　　　5月",2.97,307,122,103,41
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
