"消費数量・購入金額","品目別購入数量・金額","2019年5月 さけ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：さけ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,185,321,62,108
"　　　　　2月",2.97,181,317,61,107
"　　　　　3月",2.97,204,362,69,122
"　　　　　4月",2.97,214,370,72,125
"　　　　　5月",2.97,199,380,67,128
"　　　　　6月",2.97,197,379,66,128
"　　　　　7月",2.98,207,368,69,123
"　　　　　8月",2.98,202,364,68,122
"　　　　　9月",2.98,236,418,79,140
"　　　　 10月",2.98,240,420,81,141
"　　　　 11月",2.98,220,390,74,131
"　　　　 12月",2.98,199,407,67,137
" 2018年　 1月",2.98,171,331,57,111
"　　　　　2月",2.97,181,347,61,117
"　　　　　3月",2.97,210,401,71,135
"　　　　　4月",2.97,214,396,72,133
"　　　　　5月",2.97,227,413,76,139
"　　　　　6月",2.97,212,405,71,136
"　　　　　7月",2.98,204,371,68,124
"　　　　　8月",2.98,192,377,64,127
"　　　　　9月",2.97,220,419,74,141
"　　　　 10月",2.98,261,448,88,150
"　　　　 11月",2.98,205,386,69,130
"　　　　 12月",2.98,210,410,70,138
" 2019年　 1月",2.98,179,355,60,119
"　　　　　2月",2.98,181,358,61,120
"　　　　　3月",2.97,195,391,66,132
"　　　　　4月",2.97,215,406,72,137
"　　　　　5月",2.97,214,429,72,144
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
