"消費数量・購入金額","品目別購入数量・金額","2019年5月 さんま"
"品目別購入数量・金額"
"地 域：全国"
"品 目：さんま"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,41,28,14,9
"　　　　　2月",2.97,34,28,11,9
"　　　　　3月",2.97,44,34,15,11
"　　　　　4月",2.97,37,29,12,10
"　　　　　5月",2.97,42,30,14,10
"　　　　　6月",2.97,36,27,12,9
"　　　　　7月",2.98,32,26,11,9
"　　　　　8月",2.98,103,118,35,40
"　　　　　9月",2.98,208,248,70,83
"　　　　 10月",2.98,205,188,69,63
"　　　　 11月",2.98,100,91,34,31
"　　　　 12月",2.98,33,32,11,11
" 2018年　 1月",2.98,21,20,7,7
"　　　　　2月",2.97,26,22,9,7
"　　　　　3月",2.97,21,21,7,7
"　　　　　4月",2.97,23,21,8,7
"　　　　　5月",2.97,23,19,8,6
"　　　　　6月",2.97,19,19,6,6
"　　　　　7月",2.98,24,22,8,7
"　　　　　8月",2.98,100,123,34,41
"　　　　　9月",2.97,362,390,122,131
"　　　　 10月",2.98,322,289,108,97
"　　　　 11月",2.98,153,127,51,43
"　　　　 12月",2.98,41,37,14,12
" 2019年　 1月",2.98,31,25,10,8
"　　　　　2月",2.98,34,27,11,9
"　　　　　3月",2.97,37,28,12,9
"　　　　　4月",2.97,30,22,10,7
"　　　　　5月",2.97,27,23,9,8
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
