"消費数量・購入金額","品目別購入数量・金額","2019年5月 しじみ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：しじみ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,19,30,6,10
"　　　　　2月",2.97,20,28,7,9
"　　　　　3月",2.97,18,28,6,9
"　　　　　4月",2.97,20,27,7,9
"　　　　　5月",2.97,20,28,7,9
"　　　　　6月",2.97,22,36,7,12
"　　　　　7月",2.98,36,50,12,17
"　　　　　8月",2.98,27,40,9,13
"　　　　　9月",2.98,24,37,8,12
"　　　　 10月",2.98,23,34,8,11
"　　　　 11月",2.98,23,31,8,10
"　　　　 12月",2.98,17,29,6,10
" 2018年　 1月",2.98,23,31,8,10
"　　　　　2月",2.97,20,31,7,10
"　　　　　3月",2.97,20,29,7,10
"　　　　　4月",2.97,24,31,8,10
"　　　　　5月",2.97,24,34,8,11
"　　　　　6月",2.97,21,30,7,10
"　　　　　7月",2.98,36,48,12,16
"　　　　　8月",2.98,25,35,8,12
"　　　　　9月",2.97,28,37,9,12
"　　　　 10月",2.98,22,34,7,11
"　　　　 11月",2.98,23,31,8,10
"　　　　 12月",2.98,20,27,7,9
" 2019年　 1月",2.98,23,33,8,11
"　　　　　2月",2.98,22,27,7,9
"　　　　　3月",2.97,22,30,7,10
"　　　　　4月",2.97,39,31,13,10
"　　　　　5月",2.97,20,30,7,10
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
