"消費数量・購入金額","品目別購入数量・金額","2019年5月 しらす干し"
"品目別購入数量・金額"
"地 域：全国"
"品 目：しらす干し"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,39,117,13,39
"　　　　　2月",2.97,38,115,13,39
"　　　　　3月",2.97,47,133,16,45
"　　　　　4月",2.97,47,139,16,47
"　　　　　5月",2.97,54,156,18,53
"　　　　　6月",2.97,52,151,18,51
"　　　　　7月",2.98,50,149,17,50
"　　　　　8月",2.98,46,134,15,45
"　　　　　9月",2.98,45,126,15,42
"　　　　 10月",2.98,46,127,15,43
"　　　　 11月",2.98,39,116,13,39
"　　　　 12月",2.98,36,122,12,41
" 2018年　 1月",2.98,28,103,9,35
"　　　　　2月",2.97,27,105,9,35
"　　　　　3月",2.97,31,121,10,41
"　　　　　4月",2.97,34,130,11,44
"　　　　　5月",2.97,39,134,13,45
"　　　　　6月",2.97,39,136,13,46
"　　　　　7月",2.98,39,135,13,45
"　　　　　8月",2.98,37,141,12,47
"　　　　　9月",2.97,31,122,10,41
"　　　　 10月",2.98,36,130,12,44
"　　　　 11月",2.98,30,122,10,41
"　　　　 12月",2.98,27,107,9,36
" 2019年　 1月",2.98,29,108,10,36
"　　　　　2月",2.98,29,115,10,39
"　　　　　3月",2.97,39,142,13,48
"　　　　　4月",2.97,40,139,13,47
"　　　　　5月",2.97,43,151,14,51
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
