"消費数量・購入金額","品目別購入数量・金額","2019年5月 たい"
"品目別購入数量・金額"
"地 域：全国"
"品 目：たい"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,34,70,11,24
"　　　　　2月",2.97,38,72,13,24
"　　　　　3月",2.97,43,104,14,35
"　　　　　4月",2.97,63,131,21,44
"　　　　　5月",2.97,53,119,18,40
"　　　　　6月",2.97,35,80,12,27
"　　　　　7月",2.98,47,79,16,27
"　　　　　8月",2.98,48,90,16,30
"　　　　　9月",2.98,40,79,13,27
"　　　　 10月",2.98,32,78,11,26
"　　　　 11月",2.98,45,76,15,26
"　　　　 12月",2.98,56,121,19,41
" 2018年　 1月",2.98,33,73,11,24
"　　　　　2月",2.97,36,68,12,23
"　　　　　3月",2.97,32,84,11,28
"　　　　　4月",2.97,52,95,18,32
"　　　　　5月",2.97,42,84,14,28
"　　　　　6月",2.97,36,71,12,24
"　　　　　7月",2.98,33,60,11,20
"　　　　　8月",2.98,35,71,12,24
"　　　　　9月",2.97,33,61,11,21
"　　　　 10月",2.98,32,57,11,19
"　　　　 11月",2.98,32,64,11,21
"　　　　 12月",2.98,31,97,10,33
" 2019年　 1月",2.98,25,58,8,19
"　　　　　2月",2.98,25,56,8,19
"　　　　　3月",2.97,38,78,13,26
"　　　　　4月",2.97,43,91,14,31
"　　　　　5月",2.97,38,76,13,26
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
