"消費数量・購入金額","品目別購入数量・金額","2019年5月 だいこん"
"品目別購入数量・金額"
"地 域：全国"
"品 目：だいこん"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,1139,162,384,55
"　　　　　2月",2.97,1197,153,403,52
"　　　　　3月",2.97,1166,149,393,50
"　　　　　4月",2.97,1030,146,347,49
"　　　　　5月",2.97,905,130,305,44
"　　　　　6月",2.97,722,104,243,35
"　　　　　7月",2.98,742,99,249,33
"　　　　　8月",2.98,791,116,265,39
"　　　　　9月",2.98,1220,180,409,60
"　　　　 10月",2.98,1661,201,557,67
"　　　　 11月",2.98,1352,204,454,68
"　　　　 12月",2.98,1432,248,481,83
" 2018年　 1月",2.98,854,199,287,67
"　　　　　2月",2.97,803,198,270,67
"　　　　　3月",2.97,868,164,292,55
"　　　　　4月",2.97,968,127,326,43
"　　　　　5月",2.97,871,112,293,38
"　　　　　6月",2.97,663,101,223,34
"　　　　　7月",2.98,603,95,202,32
"　　　　　8月",2.98,671,131,225,44
"　　　　　9月",2.97,1049,209,353,70
"　　　　 10月",2.98,1522,239,511,80
"　　　　 11月",2.98,1503,181,504,61
"　　　　 12月",2.98,1352,137,454,46
" 2019年　 1月",2.98,1144,122,384,41
"　　　　　2月",2.98,1070,120,359,40
"　　　　　3月",2.97,924,103,311,35
"　　　　　4月",2.97,819,110,276,37
"　　　　　5月",2.97,799,107,269,36
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
