"消費数量・購入金額","品目別購入数量・金額","2019年5月 ぶり"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ぶり"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,182,345,61,116
"　　　　　2月",2.97,180,301,61,101
"　　　　　3月",2.97,196,309,66,104
"　　　　　4月",2.97,153,258,52,87
"　　　　　5月",2.97,134,207,45,70
"　　　　　6月",2.97,99,150,33,51
"　　　　　7月",2.98,85,145,29,49
"　　　　　8月",2.98,112,186,38,62
"　　　　　9月",2.98,140,221,47,74
"　　　　 10月",2.98,151,242,51,81
"　　　　 11月",2.98,168,286,56,96
"　　　　 12月",2.98,248,520,83,174
" 2018年　 1月",2.98,176,346,59,116
"　　　　　2月",2.97,147,279,49,94
"　　　　　3月",2.97,155,279,52,94
"　　　　　4月",2.97,167,240,56,81
"　　　　　5月",2.97,129,187,43,63
"　　　　　6月",2.97,106,162,36,55
"　　　　　7月",2.98,83,137,28,46
"　　　　　8月",2.98,85,151,29,51
"　　　　　9月",2.97,118,175,40,59
"　　　　 10月",2.98,124,217,42,73
"　　　　 11月",2.98,119,231,40,78
"　　　　 12月",2.98,209,484,70,162
" 2019年　 1月",2.98,147,300,49,101
"　　　　　2月",2.98,133,243,45,82
"　　　　　3月",2.97,147,261,49,88
"　　　　　4月",2.97,140,227,47,76
"　　　　　5月",2.97,99,182,33,61
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
