"消費数量・購入金額","品目別購入数量・金額","2019年5月 まぐろ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：まぐろ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,167,401,56,135
"　　　　　2月",2.97,156,404,53,136
"　　　　　3月",2.97,197,489,66,165
"　　　　　4月",2.97,186,479,63,161
"　　　　　5月",2.97,185,480,62,162
"　　　　　6月",2.97,179,444,60,149
"　　　　　7月",2.98,187,431,63,145
"　　　　　8月",2.98,191,520,64,174
"　　　　　9月",2.98,153,406,51,136
"　　　　 10月",2.98,152,394,51,132
"　　　　 11月",2.98,157,388,53,130
"　　　　 12月",2.98,205,675,69,227
" 2018年　 1月",2.98,148,393,50,132
"　　　　　2月",2.97,163,388,55,131
"　　　　　3月",2.97,183,452,62,152
"　　　　　4月",2.97,166,431,56,145
"　　　　　5月",2.97,173,444,58,149
"　　　　　6月",2.97,165,434,56,146
"　　　　　7月",2.98,156,411,52,138
"　　　　　8月",2.98,152,439,51,147
"　　　　　9月",2.97,140,376,47,127
"　　　　 10月",2.98,146,397,49,133
"　　　　 11月",2.98,136,358,46,120
"　　　　 12月",2.98,203,682,68,229
" 2019年　 1月",2.98,146,407,49,137
"　　　　　2月",2.98,138,351,46,118
"　　　　　3月",2.97,166,430,56,145
"　　　　　4月",2.97,143,418,48,141
"　　　　　5月",2.97,179,453,60,153
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
