"消費数量・購入金額","品目別購入数量・金額","2019年5月 もやし"
"品目別購入数量・金額"
"地 域：全国"
"品 目：もやし"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,578,86,195,29
"　　　　　2月",2.97,520,83,175,28
"　　　　　3月",2.97,579,91,195,31
"　　　　　4月",2.97,594,91,200,31
"　　　　　5月",2.97,547,86,184,29
"　　　　　6月",2.97,515,81,173,27
"　　　　　7月",2.98,500,76,168,26
"　　　　　8月",2.98,477,76,160,26
"　　　　　9月",2.98,536,84,180,28
"　　　　 10月",2.98,562,86,189,29
"　　　　 11月",2.98,591,91,198,31
"　　　　 12月",2.98,584,93,196,31
" 2018年　 1月",2.98,668,107,224,36
"　　　　　2月",2.97,671,106,226,36
"　　　　　3月",2.97,654,99,220,33
"　　　　　4月",2.97,570,89,192,30
"　　　　　5月",2.97,552,84,186,28
"　　　　　6月",2.97,507,81,171,27
"　　　　　7月",2.98,489,79,164,27
"　　　　　8月",2.98,521,82,175,28
"　　　　　9月",2.97,562,88,189,30
"　　　　 10月",2.98,552,90,185,30
"　　　　 11月",2.98,499,80,167,27
"　　　　 12月",2.98,498,78,167,26
" 2019年　 1月",2.98,514,81,172,27
"　　　　　2月",2.98,524,79,176,27
"　　　　　3月",2.97,522,82,176,28
"　　　　　4月",2.97,532,82,179,28
"　　　　　5月",2.97,523,80,176,27
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
