"消費数量・購入金額","品目別購入数量・金額","2019年5月 キャベツ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：キャベツ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,1303,251,439,85
"　　　　　2月",2.97,1347,259,454,87
"　　　　　3月",2.97,1563,291,526,98
"　　　　　4月",2.97,1578,318,531,107
"　　　　　5月",2.97,1712,285,576,96
"　　　　　6月",2.97,1493,208,503,70
"　　　　　7月",2.98,1485,178,498,60
"　　　　　8月",2.98,1337,201,449,67
"　　　　　9月",2.98,1485,251,498,84
"　　　　 10月",2.98,1869,230,627,77
"　　　　 11月",2.98,1533,252,514,85
"　　　　 12月",2.98,1259,292,422,98
" 2018年　 1月",2.98,1059,341,355,114
"　　　　　2月",2.97,939,346,316,116
"　　　　　3月",2.97,1443,370,486,125
"　　　　　4月",2.97,1631,301,549,101
"　　　　　5月",2.97,1877,259,632,87
"　　　　　6月",2.97,1557,211,524,71
"　　　　　7月",2.98,1252,211,420,71
"　　　　　8月",2.98,1373,278,461,93
"　　　　　9月",2.97,1715,252,577,85
"　　　　 10月",2.98,1544,250,518,84
"　　　　 11月",2.98,1353,209,454,70
"　　　　 12月",2.98,1237,174,415,58
" 2019年　 1月",2.98,1209,196,406,66
"　　　　　2月",2.98,1335,210,448,70
"　　　　　3月",2.97,1611,206,542,69
"　　　　　4月",2.97,1495,242,503,81
"　　　　　5月",2.97,1426,239,480,80
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
