"消費数量・購入金額","品目別購入数量・金額","2019年5月 トマト"
"品目別購入数量・金額"
"地 域：全国"
"品 目：トマト"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,648,510,218,172
"　　　　　2月",2.97,700,517,236,174
"　　　　　3月",2.97,959,646,323,218
"　　　　　4月",2.97,1194,780,402,263
"　　　　　5月",2.97,1505,893,507,301
"　　　　　6月",2.97,1560,869,525,293
"　　　　　7月",2.98,1425,768,478,258
"　　　　　8月",2.98,1137,688,382,231
"　　　　　9月",2.98,854,684,287,230
"　　　　 10月",2.98,869,625,292,210
"　　　　 11月",2.98,717,550,241,185
"　　　　 12月",2.98,631,541,212,182
" 2018年　 1月",2.98,680,523,228,176
"　　　　　2月",2.97,736,522,248,176
"　　　　　3月",2.97,941,666,317,224
"　　　　　4月",2.97,1143,754,385,254
"　　　　　5月",2.97,1523,872,513,294
"　　　　　6月",2.97,1547,829,521,279
"　　　　　7月",2.98,1313,756,441,254
"　　　　　8月",2.98,1024,731,344,245
"　　　　　9月",2.97,819,736,276,248
"　　　　 10月",2.98,753,659,253,221
"　　　　 11月",2.98,635,535,213,180
"　　　　 12月",2.98,731,551,245,185
" 2019年　 1月",2.98,763,506,256,170
"　　　　　2月",2.98,712,508,239,170
"　　　　　3月",2.97,906,639,305,215
"　　　　　4月",2.97,1008,731,339,246
"　　　　　5月",2.97,1516,847,510,285
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
