"消費数量・購入金額","品目別購入数量・金額","2019年5月 ブロッコリー"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ブロッコリー"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,375,194,126,65
"　　　　　2月",2.97,465,214,157,72
"　　　　　3月",2.97,538,207,181,70
"　　　　　4月",2.97,326,168,110,57
"　　　　　5月",2.97,359,186,121,63
"　　　　　6月",2.97,333,166,112,56
"　　　　　7月",2.98,315,151,106,51
"　　　　　8月",2.98,223,130,75,44
"　　　　　9月",2.98,282,169,95,57
"　　　　 10月",2.98,365,196,122,66
"　　　　 11月",2.98,378,229,127,77
"　　　　 12月",2.98,347,225,116,76
" 2018年　 1月",2.98,298,208,100,70
"　　　　　2月",2.97,282,189,95,64
"　　　　　3月",2.97,530,230,178,77
"　　　　　4月",2.97,245,145,82,49
"　　　　　5月",2.97,391,198,132,67
"　　　　　6月",2.97,302,163,102,55
"　　　　　7月",2.98,260,149,87,50
"　　　　　8月",2.98,205,136,69,46
"　　　　　9月",2.97,223,168,75,57
"　　　　 10月",2.98,344,225,115,76
"　　　　 11月",2.98,490,235,164,79
"　　　　 12月",2.98,499,224,167,75
" 2019年　 1月",2.98,414,204,139,68
"　　　　　2月",2.98,449,211,151,71
"　　　　　3月",2.97,510,196,172,66
"　　　　　4月",2.97,311,165,105,56
"　　　　　5月",2.97,419,209,141,70
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
