"消費数量・購入金額","品目別購入数量・金額","2019年5月 牛肉"
"品目別購入数量・金額"
"地 域：全国"
"品 目：牛肉"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,515,1763,173,594
"　　　　　2月",2.97,471,1459,159,491
"　　　　　3月",2.97,514,1650,173,556
"　　　　　4月",2.97,527,1665,177,561
"　　　　　5月",2.97,544,1791,183,603
"　　　　　6月",2.97,495,1660,167,559
"　　　　　7月",2.98,533,1705,179,572
"　　　　　8月",2.98,606,1960,203,658
"　　　　　9月",2.98,522,1655,175,555
"　　　　 10月",2.98,544,1802,183,605
"　　　　 11月",2.98,556,1744,187,585
"　　　　 12月",2.98,731,3104,245,1042
" 2018年　 1月",2.98,526,1756,177,589
"　　　　　2月",2.97,485,1584,163,533
"　　　　　3月",2.97,548,1726,185,581
"　　　　　4月",2.97,570,1719,192,579
"　　　　　5月",2.97,541,1749,182,589
"　　　　　6月",2.97,525,1692,177,570
"　　　　　7月",2.98,544,1676,183,562
"　　　　　8月",2.98,589,1874,198,629
"　　　　　9月",2.97,536,1665,180,561
"　　　　 10月",2.98,552,1735,185,582
"　　　　 11月",2.98,556,1698,187,570
"　　　　 12月",2.98,748,2997,251,1006
" 2019年　 1月",2.98,548,1810,184,607
"　　　　　2月",2.98,492,1515,165,508
"　　　　　3月",2.97,571,1671,192,563
"　　　　　4月",2.97,521,1682,175,566
"　　　　　5月",2.97,560,1777,189,598
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
