"消費数量・購入金額","品目別購入数量・金額","2019年5月 生しいたけ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：生しいたけ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,152,203,51,68
"　　　　　2月",2.97,134,177,45,60
"　　　　　3月",2.97,144,174,48,59
"　　　　　4月",2.97,133,158,45,53
"　　　　　5月",2.97,106,132,36,44
"　　　　　6月",2.97,94,115,32,39
"　　　　　7月",2.98,83,100,28,34
"　　　　　8月",2.98,97,117,33,39
"　　　　　9月",2.98,120,148,40,50
"　　　　 10月",2.98,145,189,49,63
"　　　　 11月",2.98,173,217,58,73
"　　　　 12月",2.98,190,274,64,92
" 2018年　 1月",2.98,148,208,50,70
"　　　　　2月",2.97,141,187,47,63
"　　　　　3月",2.97,147,177,49,60
"　　　　　4月",2.97,122,141,41,47
"　　　　　5月",2.97,114,132,38,44
"　　　　　6月",2.97,94,113,32,38
"　　　　　7月",2.98,90,103,30,35
"　　　　　8月",2.98,93,107,31,36
"　　　　　9月",2.97,114,146,38,49
"　　　　 10月",2.98,155,197,52,66
"　　　　 11月",2.98,171,211,57,71
"　　　　 12月",2.98,193,255,65,86
" 2019年　 1月",2.98,148,201,50,67
"　　　　　2月",2.98,150,182,50,61
"　　　　　3月",2.97,142,170,48,57
"　　　　　4月",2.97,129,145,43,49
"　　　　　5月",2.97,107,131,36,44
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
