消費数量・購入金額,品目別購入数量・金額,2019年5月 米類
品目別購入数量・金額
地 域：全国
品 目：米類
（単位：人、 ｇ、 円）,数量がkgになっているため、gになるように修正済み
,,　　　世帯当り　,,　　　一人当り,
年　　月,世帯人員,購入数量,購入金額,購入数量,購入金額
 2017年　 1月,2.97,3960,1427,1,480
　　　　　2月,2.97,4530,1616,2,544
　　　　　3月,2.97,5150,1818,2,612
　　　　　4月,2.97,5270,1900,2,640
　　　　　5月,2.97,4890,1799,2,606
　　　　　6月,2.97,4940,1814,2,611
　　　　　7月,2.98,4900,1755,2,589
　　　　　8月,2.98,5130,1862,2,625
　　　　　9月,2.98,7850,2509,3,842
　　　　 10月,2.98,8380,2862,3,960
　　　　 11月,2.98,6310,2211,2,742
　　　　 12月,2.98,6320,2304,2,773
 2018年　 1月,2.98,3940,1525,1,512
　　　　　2月,2.97,4750,1766,2,595
　　　　　3月,2.97,4780,1817,2,612
　　　　　4月,2.97,4890,1893,2,637
　　　　　5月,2.97,4860,1892,2,637
　　　　　6月,2.97,5180,1958,2,659
　　　　　7月,2.98,5000,1916,2,643
　　　　　8月,2.98,4980,1920,2,644
　　　　　9月,2.97,6740,2343,2,789
　　　　 10月,2.98,9140,3003,3,1008
　　　　 11月,2.98,6070,2238,2,751
　　　　 12月,2.98,5490,2045,2,686
 2019年　 1月,2.98,3910,1490,1,500
　　　　　2月,2.98,4560,1671,2,561
　　　　　3月,2.97,4740,1833,2,617
　　　　　4月,2.97,5030,1877,2,632
　　　　　5月,2.97,4710,1785,2,601
　　　　　6月,,,,,
　　　　　7月,,,,,
　　　　　8月,,,,,
　　　　　9月,,,,,
　　　　 10月,,,,,
　　　　 11月,,,,,
　　　　 12月,,,,,
