"消費数量・購入金額","品目別購入数量・金額","2019年5月 食パン"
"品目別購入数量・金額"
"地 域：全国"
"品 目：食パン"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,1511,708,509,238
"　　　　　2月",2.97,1490,720,502,242
"　　　　　3月",2.97,1784,823,601,277
"　　　　　4月",2.97,1728,800,582,269
"　　　　　5月",2.97,1759,822,592,277
"　　　　　6月",2.97,1693,786,570,265
"　　　　　7月",2.98,1601,740,537,248
"　　　　　8月",2.98,1586,743,532,249
"　　　　　9月",2.98,1643,741,551,249
"　　　　 10月",2.98,1638,777,550,261
"　　　　 11月",2.98,1640,762,550,256
"　　　　 12月",2.98,1664,767,558,257
" 2018年　 1月",2.98,1559,744,523,250
"　　　　　2月",2.97,1584,744,533,251
"　　　　　3月",2.97,1781,837,600,282
"　　　　　4月",2.97,1679,796,565,268
"　　　　　5月",2.97,1728,808,582,272
"　　　　　6月",2.97,1726,772,581,260
"　　　　　7月",2.98,1645,746,552,250
"　　　　　8月",2.98,1557,732,522,246
"　　　　　9月",2.97,1627,774,548,261
"　　　　 10月",2.98,1655,786,555,264
"　　　　 11月",2.98,1595,778,535,261
"　　　　 12月",2.98,1586,823,532,276
" 2019年　 1月",2.98,1589,768,533,258
"　　　　　2月",2.98,1503,764,504,256
"　　　　　3月",2.97,1749,886,589,298
"　　　　　4月",2.97,1751,864,590,291
"　　　　　5月",2.97,1763,885,594,298
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
